MCS	Replica	Neigh	Numero_ag	Tamaño_ag
9600	R6	0.96	90	22.4
9800	R6	0.962857143	93	23.8
10000	R6	0.962857143	95	25.8
0	R7	0.467142857	128	5.6
200	R7	0.774285714	171	11.2
400	R7	0.814285714	167	11.2
600	R7	0.841428571	161	12.6
800	R7	0.855714286	155	12
1000	R7	0.874285714	159	12
1200	R7	0.884285714	151	11.2
1400	R7	0.89	153	11.6
1600	R7	0.901428571	145	14
1800	R7	0.901428571	138	14.8
2000	R7	0.907142857	139	15.2
2200	R7	0.908571429	140	14.6
2400	R7	0.92	136	15
2600	R7	0.924285714	134	14.4
2800	R7	0.924285714	128	16.2
3000	R7	0.93	126	17.4
3200	R7	0.932857143	123	16
3400	R7	0.931428571	126	17.8
3600	R7	0.937142857	123	18
3800	R7	0.937142857	120	19
4000	R7	0.937142857	122	17.8
4200	R7	0.938571429	116	19.6
4400	R7	0.938571429	115	20.2
4600	R7	0.938571429	113	19.4
4800	R7	0.938571429	114	18.6
5000	R7	0.938571429	116	19
5200	R7	0.937142857	112	18.4
5400	R7	0.938571429	109	18.6
5600	R7	0.942857143	111	18.8
5800	R7	0.944285714	107	21.6
6000	R7	0.945714286	104	21.2
6200	R7	0.944285714	103	21.4
6400	R7	0.945714286	104	22
6600	R7	0.947142857	99	22.2
6800	R7	0.948571429	102	17.4
7000	R7	0.947142857	97	20.4
7200	R7	0.948571429	105	18
7400	R7	0.95	94	23.4
7600	R7	0.95	100	20.4
7800	R7	0.947142857	96	20.6
8000	R7	0.944285714	96	20.6
8200	R7	0.95	92	21.8
8400	R7	0.951428571	92	21.4
8600	R7	0.948571429	90	21.6
8800	R7	0.95	91	22.8
9000	R7	0.952857143	97	22
9200	R7	0.952857143	92	25.2
9400	R7	0.952857143	89	25
9600	R7	0.952857143	96	22.8
9800	R7	0.952857143	92	25.8
10000	R7	0.95	88	25
0	R8	0.545714286	146	6.6
200	R8	0.792857143	170	9
400	R8	0.835714286	167	8.6
600	R8	0.862857143	160	10
800	R8	0.884285714	157	10.2
1000	R8	0.895714286	151	12
1200	R8	0.914285714	138	14.6
1400	R8	0.921428571	138	16
1600	R8	0.927142857	132	18.8
1800	R8	0.938571429	131	17
2000	R8	0.941428571	123	19.8
2200	R8	0.948571429	116	23
2400	R8	0.95	113	23
2600	R8	0.95	113	21.6
2800	R8	0.95	115	22.8
3000	R8	0.952857143	119	22.4
3200	R8	0.955714286	111	21.8
3400	R8	0.957142857	103	23.2
3600	R8	0.958571429	103	22.8
3800	R8	0.96	104	24.2
4000	R8	0.96	103	23.8
4200	R8	0.958571429	106	23.6
4400	R8	0.958571429	102	20.8
4600	R8	0.961428571	97	24.8
4800	R8	0.962857143	98	22.4
5000	R8	0.962857143	92	23
5200	R8	0.962857143	91	22
5400	R8	0.964285714	96	19.8
5600	R8	0.964285714	91	25.8
5800	R8	0.961428571	91	25.4
6000	R8	0.958571429	93	23.2
6200	R8	0.961428571	94	23.4
6400	R8	0.965714286	89	25.6
6600	R8	0.965714286	89	23.8
6800	R8	0.965714286	91	24.2
7000	R8	0.965714286	94	23.8
7200	R8	0.967142857	92	19.8
7400	R8	0.964285714	88	22.2
7600	R8	0.962857143	83	24.8
7800	R8	0.964285714	80	26.6
8000	R8	0.964285714	81	28.8
8200	R8	0.965714286	78	28.4
8400	R8	0.962857143	78	25.6
8600	R8	0.965714286	81	24.6
8800	R8	0.964285714	81	26.6
9000	R8	0.961428571	80	30
9200	R8	0.96	80	26.8
9400	R8	0.961428571	80	26.8
9600	R8	0.957142857	81	24.8
9800	R8	0.961428571	88	24.8
10000	R8	0.961428571	83	24.8
0	R9	0.51	139	5.8
200	R9	0.752857143	166	11.6
400	R9	0.83	162	13.2
600	R9	0.857142857	152	14.6
800	R9	0.868571429	150	15.8
1000	R9	0.884285714	140	15.6
1200	R9	0.888571429	131	17.2
1400	R9	0.895714286	127	17
1600	R9	0.901428571	125	15.8
1800	R9	0.908571429	122	16.4
2000	R9	0.905714286	117	20
2200	R9	0.912857143	116	18
2400	R9	0.921428571	113	21.4
2600	R9	0.921428571	110	19.2
2800	R9	0.922857143	99	21.2
3000	R9	0.922857143	99	21
3200	R9	0.928571429	98	20.8
3400	R9	0.927142857	102	19.4
3600	R9	0.931428571	104	18.4
3800	R9	0.932857143	93	20.6
4000	R9	0.935714286	93	22.6
4200	R9	0.94	92	29
4400	R9	0.94	92	24.8
4600	R9	0.942857143	95	22.8
4800	R9	0.942857143	91	24
5000	R9	0.944285714	90	25
5200	R9	0.947142857	91	26.4
5400	R9	0.948571429	88	24.8
5600	R9	0.948571429	87	25.8
5800	R9	0.947142857	91	24
6000	R9	0.948571429	88	24.8
6200	R9	0.95	90	24
6400	R9	0.95	90	24.6
6600	R9	0.948571429	89	26.2
6800	R9	0.951428571	89	28.4
7000	R9	0.952857143	90	32.2
7200	R9	0.954285714	91	29.8
7400	R9	0.954285714	88	30
7600	R9	0.954285714	85	26.4
7800	R9	0.952857143	87	29
8000	R9	0.954285714	86	28.6
8200	R9	0.952857143	79	27.6
8400	R9	0.952857143	84	24.8
8600	R9	0.955714286	87	25.8
8800	R9	0.955714286	85	25.8
9000	R9	0.955714286	84	27.8
9200	R9	0.954285714	85	24.4
9400	R9	0.954285714	89	23.8
9600	R9	0.957142857	88	22.8
9800	R9	0.957142857	86	24
10000	R9	0.955714286	82	26.2
0	R10	0.505714286	138	6.2
200	R10	0.788571429	171	10
400	R10	0.828571429	173	7.6
600	R10	0.852857143	161	12
800	R10	0.872857143	158	14.2
1000	R10	0.885714286	148	15
1200	R10	0.895714286	145	15.6
1400	R10	0.905714286	140	14.8
1600	R10	0.91	130	19.4
1800	R10	0.912857143	134	15.6
2000	R10	0.921428571	132	16
2200	R10	0.921428571	129	16
2400	R10	0.93	126	18.8
2600	R10	0.935714286	128	17.8
2800	R10	0.94	123	20.8
3000	R10	0.942857143	122	20.6
3200	R10	0.945714286	118	20.8
3400	R10	0.945714286	115	17.8
3600	R10	0.947142857	115	16.4
3800	R10	0.947142857	105	22.2
4000	R10	0.947142857	104	21.6
4200	R10	0.947142857	102	18.6
4400	R10	0.945714286	99	22.6
4600	R10	0.945714286	104	22.6
4800	R10	0.947142857	96	24.4
5000	R10	0.947142857	96	25
5200	R10	0.947142857	94	23
5400	R10	0.947142857	94	25.2
5600	R10	0.945714286	92	26
5800	R10	0.944285714	89	25.2
6000	R10	0.95	92	24.2
6200	R10	0.948571429	92	26.8
6400	R10	0.95	93	23.2
6600	R10	0.95	97	22.8
6800	R10	0.95	95	25.6
7000	R10	0.951428571	99	25.6
7200	R10	0.951428571	97	24.8
7400	R10	0.951428571	99	26.2
7600	R10	0.951428571	90	25.4
7800	R10	0.951428571	92	28
8000	R10	0.951428571	87	28
8200	R10	0.951428571	85	29
8400	R10	0.95	91	26
8600	R10	0.954285714	80	30.4
8800	R10	0.954285714	80	30
9000	R10	0.954285714	86	25.2
9200	R10	0.952857143	85	30.4
9400	R10	0.952857143	83	31.2
9600	R10	0.955714286	84	29.6
9800	R10	0.954285714	85	27.8
10000	R10	0.954285714	85	27.8
